name,survey,ra_deg,dec_deg,z,logMstar,logSFR,distance_mpc
NGC4571,PHANGS-ALMA,189.235,14.217222,0.001144,10.1,-0.54,14.9
NGC4579,PHANGS-ALMA,189.43125,11.818333,0.005059,11.15,0.33,21.0
NGC4596,PHANGS-ALMA,189.982917,10.176111,0.006282,10.59,-0.96,15.76
NGC4654,PHANGS-ALMA,190.985833,13.126667,0.003507,10.57,0.58,21.98
NGC4689,PHANGS-ALMA,191.94,13.762778,0.005384,10.24,-0.39,15.0
NGC4694,PHANGS-ALMA,192.0625,10.983611,0.003897,9.9,-0.81,15.76
NGC4731,PHANGS-ALMA,192.755,-6.392778,0.004949,9.5,-0.22,13.28
NGC4781,PHANGS-ALMA,193.599167,-10.537222,0.004164,9.64,-0.32,11.31
NGC4826,PHANGS-ALMA,194.181667,21.683333,0.001367,10.24,-0.69,4.41
NGC4941,PHANGS-ALMA,196.054583,-5.551667,0.003723,10.18,-0.35,15.0
NGC4951,PHANGS-ALMA,196.282083,-6.493889,0.003923,9.79,-0.46,15.0
NGC4945,PHANGS-ALMA,196.36375,-49.467778,0.001866,10.36,0.19,3.47
NGC5042,PHANGS-ALMA,198.879167,-23.983889,0.004622,9.9,-0.22,16.78
NGC5068,PHANGS-ALMA,199.727917,-21.038611,0.002226,9.41,-0.56,5.2
NGC5134,PHANGS-ALMA,201.327083,-21.134167,0.005834,10.41,-0.34,19.92
NGC5128,PHANGS-ALMA,201.365,-43.019167,0.001833,10.97,0.09,3.69
NGC5236,PHANGS-ALMA,204.25375,-29.865556,0.001699,10.53,0.62,4.89
NGC5248,PHANGS-ALMA,204.383333,8.885278,0.003879,10.41,0.36,14.87
ESO097-013,PHANGS-ALMA,213.29125,-65.339167,0.001435,10.53,0.61,4.2
NGC5530,PHANGS-ALMA,214.61375,-43.388333,0.003947,10.08,-0.48,12.27
NGC5643,PHANGS-ALMA,218.17,-44.174722,0.003974,10.34,0.41,12.68
NGC6300,PHANGS-ALMA,259.247917,-62.820556,0.003676,10.47,0.29,11.58
