name,survey,z,logMstar,logSFR,distance_mpc,hrl_line,strong_line,project_id,mousid,sens_10kms_mJy,ang_res_arcsec,pointing_ra,pointing_dec,predicted_sn_log
NGC4945,PHANGS-ALMA,0.001866,10.36,0.19,3.47,H30a,CO21,2022.1.00190.S,uid://A001/X2d20/X37d6,5.955929010062194,5.274539986321554,196.36366299999924,-49.46790000000001,-1.666
NGC5643,PHANGS-ALMA,0.003974,10.34,0.41,12.68,H30a,CO21,2016.1.01279.S,uid://A001/X888/X7e,0.8116919668093953,0.46471901068461746,218.16972137105526,-44.17498034964632,-1.706
NGC4945,PHANGS-ALMA,0.001866,10.36,0.19,3.47,H30a,CO21,2018.1.00986.S,uid://A001/X133d/X17d6,7.0627925848886575,23.576397247351277,196.36366249997187,-49.46790000000632,-1.74
NGC1068,PHANGS-ALMA,0.00377,10.91,1.64,13.97,H30a,CO21,2021.2.00049.S,uid://A001/X15a9/Xc56,12.965790116072995,5.6206213585397435,40.66978488813167,-0.013929401662716463,-1.763
NGC5643,PHANGS-ALMA,0.003974,10.34,0.41,12.68,H30a,CO21,2016.1.00254.S,uid://A001/X87a/X493,1.0799135983378791,0.7129817672006203,218.16990829996152,-44.174611100007134,-1.83
NGC4945,PHANGS-ALMA,0.001866,10.36,0.19,3.47,H30a,CO21,2021.1.00783.S,uid://A001/X1590/X1bfe,8.821762328974284,23.365455627968846,196.36366299998826,-49.467900000007674,-1.836
NGC5248,PHANGS-ALMA,0.003879,10.41,0.36,14.87,H30a,CO21,2017.1.00277.S,uid://A001/X1296/Xdef,0.7500049283984461,0.06611019596484771,204.3836208333133,8.885061111110371,-1.86
NGC5236,PHANGS-ALMA,0.001699,10.53,0.62,4.89,H30a,CO21,2015.1.00121.S,uid://A001/X2fe/X3a,12.867328761099584,22.06420720528537,204.25312500000916,-29.866111111114442,-1.868
NGC5236,PHANGS-ALMA,0.001699,10.53,0.62,4.89,H30a,CO21,2013.1.01161.S,uid://A001/X12f/X327,12.861326981007457,1.0453012587947068,204.25309338930765,-29.866076755792534,-1.868
NGC1365,PHANGS-ALMA,0.005381,11.0,1.24,19.57,H30a,CO21,2013.1.01161.S,uid://A001/X12f/X321,3.406604894148306,0.19024647802518083,53.40158333333334,-36.140472222222215,-1.876
